Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
Property management and real estate asset management are both real estate management professions. The primary distinction between the two is that,property managers always report to an asset manager,asset managers have greater knowledge of a property's finances,property managers handle day-to-day operations while asset managers manage portfolios of properties,asset managers are primarily responsible for maintenance technicians,3,PREP-AL-STD-1.1,"Asset managers oversee groups of properties, or portfolios. Their role is to achieve the investment objectives of the owners as opposed to managing day-to-day operations"
People in the real estate business who primarily focus on creating new properties are,brokers,developers,zoning administrators,excavators,2,PREP-AL-STD-1.2,Developers are primarily focused on creating new properties
"The term ""commercial property"" generally refers to",non-owner-occupied properties,"retail, office and industrial properties",multi-tenant properties,retail properties,2,PREP-AL-STD-1.3,"Commercial property generally refers to retail and office properties, but may also include industrial real estate"
Which of the following professionals involved in the real estate business are most concerned about procuring buyers and sellers for clients?,Brokers and agents,Property managers,Corporate real estate managers,Appraisers,1,PREP-AL-STD-1.4,"The brokerage company, in its simplest form, consists of a broker and the broker's agents, who together work to locate buyers, sellers, tenants and landlords for the broker's clients"
Which of the following ways of specializing is common in the real estate brokerage business?,By type of house,By geography,By financial background of client,By type of mortgage,2,PREP-AL-STD-1.5,"In the modern brokerage environment, brokers and agents specialize along the following lines:  •	property type  •	geographical area  •type of transaction  •type of client  •type of relationship"
What is an advisory service provider?,A broker of fee simple titles,A corporate real estate broker,A broker performing non-transactional services for a commission,A broker who renders real estate services for a fee,4,PREP-AL-STD-1.6,"In the advisory relationship, the broker works on identified real estate tasks or projects in exchange for a fee, salary, or retainer"
The level of government which is most active in regulating real estate licensees is the,federal government,state government,county government,municipal government where the person resides,2,PREP-AL-STD-1.7,State real estate license laws comprise the primary body of laws and regulations governing real estate brokerage practice
What guarantees the right of private ownership of real estate in the United States?,Common law,Local statutes,The Napoleonic Code,The Constitution,4,PREP-AL-STD-2.1,The Constitution establishes absolute right of private ownership of real estate
Which of the following is the best definition of real estate?,Land and personal property,Unimproved land,Land and everything permanently attached to it,An ownership interest in land and improvements,3,PREP-AL-STD-2.2,"Real estate is the land and all things, man made or natural, that are permanently attached to it"
Which of the following is included in the legal concept of land?,The surface of the earth and all natural things permanently attached to the earth,Only the surface of the earth that is delineated by boundaries,The surface of the earth except for lakes and streams,"Everything above, on and below the surface of the earth",1,PREP-AL-STD-2.3,"Land includes minerals beneath the earth's surface, water on or below the earth's surface, and the air above the surface. In addition, land includes all plants attached to the ground or in the ground, such as trees and grass"
What are the three unique physical characteristics of land?,"Fixed, unchangeable, homogeneous","Immobile, indestructible, heterogeneous","Three-dimensional, buildable, marketable","Natural, measurable, inorganic",2,PREP-AL-STD-2.4,"Land has three unique physical characteristics: immobility, indestructibility, and heterogeneity"
The primary distinction between the legal concepts of land and real estate is that,real estate includes air above the surface and minerals below the surface,real estate is indestructible,land has no defined boundaries,land does not include man-made structures,4,PREP-AL-STD-2.5,"Real estate includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. Such manmade structures attached to the land are called improvements"
The primary distinction between the legal concepts of real estate and real property is that,real property includes ownership of a bundle of rights,real property includes improvements,"real property is physical, not abstract",real estate can be owned,1,PREP-AL-STD-2.6,Real property is ownership of real estate and the bundle of rights associated with owning the real estate
Which of the following is included in the bundle of rights inherent in ownership?,To inherit,To tax,To transfer,To vote,3,PREP-AL-STD-2.7,"In owning property, the owner has the right to transfer ownership of the item (sell, rent, donate, assign, or bequeath)"
Which of the following is an example of intangible property?,Real estate,Personal property,Artwork,Stock,4,PREP-AL-STD-2.8,"A stock certificate, contract, or patent would be an example of intangible property"
The right to use real property is limited by,the right of others to use and enjoy their property,the police,taxation and subordination,Title 12 of the U.S. Civil Code,1,PREP-AL-STD-2.9,One's right to use may not infringe on the rights of others to use and enjoy their property
"Surface rights, air rights and subsurface rights are",inviolable,unrelated,separable,not transferrable,3,PREP-AL-STD-2.10,"The bundle of real property rights also applies separately to the individual components of real estate: the air, the surface, and the subsurface. An owner can, for example, transfer subsurface rights without transferring air rights. Similarly, an owner can rent air space without encumbering surface or subsurface rights"
Which of the following terms refers to the rights of a property that abuts a stream or river?,Allodial,Alluvial,Littoral,Riparian,4,PREP-AL-STD-2.11,Riparian rights concern properties abutting moving water such as streams and rivers
What part of a non-navigable waterway does the owner of an abutting property own?,To the low-water mark,To the middle of the waterway,To the high-water mark,None,2,PREP-AL-STD-2.12,"If the property abuts a non-navigable stream, the owner enjoys unrestricted use of the water and owns the land beneath the stream to the stream's midpoint"
"What is the ""Doctrine of Prior Appropriation?""",A pre-emptive zoning ordinance,The right of government to confiscate land and improvements,A doctrine that gives the state control of water use and the water supply,A real estate tax applied to owners of water rights,3,PREP-AL-STD-2.13,"Since water is a resource necessary for survival, some states -- particularly those where water is scarce -- have taken the legal position that the state owns and controls all bodies of water. Called the Doctrine of Prior Appropriation, this position requires that property owners obtain permits for use of water"
Which of the following is considered real property?,A tree growing on a parcel of land,A tree that has been cut down and is lying on a parcel of land,A tractor used to mow grass on a parcel of land,A prefabricated shed not yet assembled on a parcel of land,1,PREP-AL-STD-2.14,"The primary criterion for distinguishing real from personal property is whether the item is permanently attached to the land or to structures attached to the land. For example, a tree growing in one's yard is an item of real property"
The overriding test of whether an item is a fixture or personal property is,how long it has been attached to the real property,its definition as one or the other in a sale or lease contract,how essential it is to the functioning of the property,how it was treated in previous transactions,2,PREP-AL-STD-2.15,"If a person intended an article to be a fixture, even though the item is easily removable"
What is an emblement?,A piece of equipment affixed to the earth,A limited right to use personal property,A sign indicating a property boundary,A plant or crop that is considered personal property,4,PREP-AL-STD-2.16,"Plants and crops requiring human intervention and labor are called emblements. Emblements, despite their attachment to land, are considered personal property"
An item can be converted from real to personal property and vice versa by means of which processes?,Assemblage and plottage,Application and dissolution,Affixing and severance,Personalty and severalty,3,PREP-AL-STD-2.17,"The classification may be changed by the process of conversion. Severance is the conversion of real property to personal property by detaching it from the real estate, such as by cutting down a tree, detaching a door from a shed, or removing an antenna from a roof. Affixing, or attachment, is the act of converting personal property to real property by attaching it to the real estate, such as by assembling a pile of bricks into a barbecue pit, or constructing a boat dock from wood planks"
