Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
Which of the following professional activities is a real estate broker or agent most likely to be directly involved in?,Holding real estate as an investment,Regulating use of real estate,Transferring real estate ownership,Destroying existing improvements,3,PREP-AL-1.1,"Rights and interests in real estate can be bought, sold, assigned, leased, exchanged, inherited, or otherwise transferred from one owner to another. Real estate brokers and the brokers' salespeople are generally centrally involved in such transfers"
The distinguishing feature of commercial property is that,it is not occupied by an owner-user,it has the potential to generate income from its use by a business,it is held by its owners primarily for its investment value,it houses multiple tenants,2,PREP-AL-1.2,"Commercial property generally refers to retail and office properties, but may also include industrial real estate. The term ""commercial"" relates to the fact that the property can potentially generate income from a business's usage"
An important reason for a real estate salesperson or broker in a large market to specialize in a geographical area is that,large market areas have usually been divided up geographically by competing brokers,customers generally identify brokers with the area immediately around their offices,geographical specialization is the only legal way to organize business,it is difficult to maintain adequate market knowledge on a large area,4,PREP-AL-1.3,"Brokers and agents must maintain current, accurate data on properties. It is not possible to keep track of every property in larger markets. Therefore, one must create an area of geographical specialization. One's area may be defined by natural barriers; by streets and highways; or by a certain set of subdivisions"
A real estate professional who oversees the day-to-day operation of a specific property on behalf of the owner is a(n),property manager,asset manager,maintenance technician,management consultant,1,PREP-AL-1.4,"Property managers and their staff oversee specific properties on behalf of the owners, making sure the condition of the property and its financial performance meet specific standards"
Which of the following is a primary real estate brokerage activity?,Obtaining a zoning variance for a home owner,Appealing an assessed valuation for a client,Assisting a developer to subdivide a property,Locating a landlord for a tenant,4,PREP-AL-1.5,Primary real estate brokerage activities involve performance of one or more of the following tasks:  •locating a buyer for a seller  •	locating a seller for a buyer  •locating a tenant for a landlord  •locating a landlord for a tenant
"The real estate industry is regulated by federal, state and local laws, as well as by",its own professional codes of ethics,the local Chamber of Commerce,the Consumer Protection Agency,the Better Business Bureau,1,PREP-AL-1.6,"In addition to federal, state, and local laws and regulations, the real estate industry is, to a degree, self-regulated by the codes of ethical conduct propounded by the industry's many trade organizations"
The agency that administers and enforces license laws in each state is the,state department of revenue,U.S. Attorney's office,"real estate commission, council, or similar board",U.S. Circuit Court or U.S. Court of Appeals,3,PREP-AL-1.7,"State license laws are administered in each state by a real estate commission. The commission is charged with administering and enforcing license laws. In addition, the commission may pass regulations that further refine or clarify state statutes"
"In addition to specifying who must obtain a real estate license and requirements for obtaining one, license laws also define","how licensees must handle escrow deposits, funds, and fees",the minimum commission split a broker can give a salesperson,how many salespeople in a broker's office can have active licenses at a given time,how many brokers may cooperate in a single transaction,1,PREP-AL-1.8,"License laws in each state specify who must obtain a license to practice real estate and set the requirements for obtaining and maintaining the license. License laws also define critical aspects of real estate brokerage, including:  •procedures for handling escrow deposits and fees. •procedures for advertising  •guidelines for dealing with clients and customers"
An investment property is,any property that yields a profit to the owner when it is sold,any property that is used for a purpose other than habitation,any property that is held by its owners for investment purposes,any property that produces a positive cash flow for its owner,3,PREP-AL-1.9,Investment property refers to any property that is held by its owners for investment purposes
A residential property is one that,is occupied by no more than five families,is used primarily for habitation,is located in a residential zone,contains a house,2,PREP-AL-1.10,Residential property refers to property that is owned and used for habitation
"""Real estate"" includes such things as","fences, sidewalks, and piers on a parcel of land",mobile homes temporarily parked on a parcel of land,timber that has been cut and is lying on a parcel of land,business equipment an owner or tenant has placed on a parcel of land,1,PREP-AL-2.1,"The legal concept of real estate encompasses the land and all man-made structures that are ""permanently"" attached to the land. Real estate therefore includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. The phrase ""permanently attached"" refers primarily to one's intention in attaching the item"
"An ""improvement"" is",a modification of land to make it more useful,a modification of a structure to enhance its value,a structure intended as a permanent attachment to land,a parcel of land that has been prepared for development,3,PREP-AL-2.2,"Real estate therefore includes, in addition to land, such things as fences, streets, buildings, wells, sewers, sidewalks and piers. Such man-made structures attached to the land are called improvements"
The physical limits of land are,the surface of the earth and infinite space above the surface,the center of the earth and infinite space above the earth,the surface of the earth and all water and minerals on or below the surface to the center of the earth,the surface of the earth and the air rights above the surface to the point defined by local zoning,2,PREP-AL-2.3,Subsurface rights apply to land beneath the surface of the real estate parcel extending from its surface boundaries downward to the center of the earth
"The ""bundle of rights"" refers to a set of rights",enjoyed by the owner of a property,that is inseparable from a parcel of real estate,guaranteed to citizens by the Declaration of Independence,specified in a deed or land contract,1,PREP-AL-2.4,"This group of rights includes the right to Possess, Use, Transfer, Encumber, and Exclude others from using the property. (Remember: ""PUTEE"") Transfer rights include the right to sell, rent, donate, assign, or bequeath. The owner may also encumber the item by mortgaging it as collateral for debt"
The rights to possess and use a property are,inviolable,infinite and unlimited,limited by what the law allows,dependent on the type of property involved,3,PREP-AL-2.5,"In owning property, one has the right to possess and use it as the law allows"
"By definition, personal property",includes real property,is any property that is not real property,is any property owned by an individual,is real property that is not attached to real estate,2,PREP-AL-2.6,Personal property is ownership of anything which is not real estate
The right to encumber a property means that the owner can,build fences and road blocks,use the property as collateral for debt,lease the property,assign the bundle of rights to another,2,PREP-AL-2.7,"The right to encumber the property essentially means the right to mortgage the property as collateral for debt. There may be restrictions to this right, such as a spouse's right to limit the degree to which a homestead may be mortgaged"
A property owner has the right to transfer water rights,if the owner has not previously separated the bundle of rights,only to the owner of an adjoining property,only if there are water rights attached to the property,without constraint,3,PREP-AL-2.8,"While all rights are transferrable, the owner can only transfer what the owner in fact possesses. A property seller, for example, cannot sell water rights if there are no water rights attached to the property"
A lease is an example of a(n),transfer of a portion of the bundle of rights,encroachment on the bundle of rights,transfer of the complete bundle of rights,transfer of surface rights,1,PREP-AL-2.9,An ordinary lease is a common example of the transfer of a portion of one's bundle of rights
Which of the following is included in surface rights?,Air rights,Subsurface rights,Water rights,Mineral rights,3,PREP-AL-2.10,"Surface rights apply to the real estate contained within the surface boundaries of the parcel. This includes the ground, all natural things affixed to the ground, and all improvements. Surface rights also include water rights"
The right to build a structure on top of an existing structure is an example of,the right to encumber,surface rights,the right to improve,air rights,4,PREP-AL-2.11,"Air rights apply to the space above the surface boundaries of the parcel, as delineated by imaginary vertical lines extended to infinity"
Water rights include the right to,extract water from the water table,divert surface water onto an adjoining property,prevent a stream or river from flowing onto an adjoining property,own and use a body of water on the surface of the earth,4,PREP-AL-2.12,"Water rights basically concern the rights to own and use water found in lakes, streams, rivers, and the ocean"
Littoral rights concern which of the following bodies of water?,Lakes entirely contained within the boundaries of an owner's property,Streams and rivers,"Navigable lakes, seas, and oceans",Navigable streams and rivers,3,PREP-AL-2.13,"Littoral rights concern properties abutting bodies of water that are not moving, such as lakes and seas. Owners of properties abutting a navigable, non-moving body of water enjoy the littoral right of use, but do not own the water nor the land beneath the water. Ownership extends to the high-water mark of the body of water"
"If littoral rights attach to a property, the property extends to",the high water mark of the body of water,the low water mark of the body of water,the center line of the body of water,the property line of a property that also has littoral rights on the opposite side of the body of water,1,PREP-AL-2.14,Ownership extends to the high-water mark of the body of water
Which of the following is true of littoral rights?,They revert to the state when the property is sold,They cannot be transferred,"They are a personal right belonging to an individual owner, not attaching to the real property",They transfer with the property when the property is sold,4,PREP-AL-2.15,"Littoral rights attach to the property. When the property is sold, the littoral rights transfer with the property to the new owner"
Riparian rights concern which of the following bodies of water?,Lakes,Seas and oceans,Streams and rivers,Navigable lakes,3,PREP-AL-2.16,"Riparian rights concern properties abutting moving water such as streams and rivers. If a property abuts a stream or river, the owner's riparian rights are determined by whether the water is navigable or not navigable. If the property abuts a non-navigable stream, the owner enjoys unrestricted use of the water and owns the land beneath the stream to the stream's midpoint. If the waterway in question is navigable, the waterway is considered to be a public easement. In such a case, the owner's property extends to the water's edge as opposed to the midpoint of the waterway"
